,Date,Site,Plot,Tag,ID,Size_x,T1_Date,T1_Survival,Taxa_broad,Site_Plot
55,22/4/2024,A4_6m,3,A0267,B,6,20/3/2025,1,Acropora spp.,A4_6m_3
56,22/4/2024,A4_6m,3,A0270,D,3,20/3/2025,1,Acropora spp.,A4_6m_3
57,22/4/2024,A4_6m,3,A0270,E,5,20/3/2025,1,Acropora spp.,A4_6m_3
58,22/4/2024,A4_6m,3,A0277,C,5,20/3/2025,1,Acropora spp.,A4_6m_3
59,22/4/2024,A4_6m,3,A0279,A,1,20/3/2025,1,Acropora spp.,A4_6m_3
60,22/4/2024,A4_6m,3,A0279,F,2,20/3/2025,1,Acropora spp.,A4_6m_3
61,22/4/2024,A4_6m,3,A0279,G,6,20/3/2025,1,Acropora spp.,A4_6m_3
62,22/4/2024,A4_6m,3,A0286,D,1,20/3/2025,1,Acropora spp.,A4_6m_3
63,22/4/2024,A4_6m,3,A0348,A,4,20/3/2025,1,Acropora spp.,A4_6m_3
64,22/4/2024,A4_6m,3,A0348,C,1,20/3/2025,0,Acropora spp.,A4_6m_3
65,22/4/2024,A4_6m,3,A0348,D,2,20/3/2025,0,Acropora spp.,A4_6m_3
66,22/4/2024,A4_6m,3,A0348,E,3,20/3/2025,0,Acropora spp.,A4_6m_3
67,22/4/2024,A4_6m,3,A0355,D,1,20/3/2025,0,Acropora spp.,A4_6m_3
68,22/4/2024,A4_6m,3,A0369,D,5,20/3/2025,0,Acropora spp.,A4_6m_3
69,22/4/2024,A4_6m,3,A0370,A,7,20/3/2025,1,Acropora spp.,A4_6m_3
70,22/4/2024,A4_6m,3,A0370,B,6,20/3/2025,1,Acropora spp.,A4_6m_3
71,22/4/2024,A4_6m,3,A0375,A,7,20/3/2025,1,Acropora spp.,A4_6m_3
72,22/4/2024,A4_6m,3,A0375,B,3,20/3/2025,0,Acropora spp.,A4_6m_3
73,22/4/2024,A4_6m,3,A0377,A,5,20/3/2025,1,Acropora spp.,A4_6m_3
74,22/4/2024,A4_6m,3,A0377,C,2,20/3/2025,1,Acropora spp.,A4_6m_3
75,22/4/2024,A4_6m,3,A0378,A,1,20/3/2025,0,Acropora spp.,A4_6m_3
76,22/4/2024,A4_6m,3,A0378,B,4,20/3/2025,1,Acropora spp.,A4_6m_3
77,22/4/2024,A4_6m,3,A0379,A,6,20/3/2025,1,Acropora spp.,A4_6m_3
78,22/4/2024,A4_6m,3,A0379,C,4,20/3/2025,1,Acropora spp.,A4_6m_3
79,16/4/2024,A5_6m,1,A0209,A,4,16/3/2025,0,Acropora spp.,A5_6m_1
80,16/4/2024,A5_6m,1,A0209,B,3,16/3/2025,0,Acropora spp.,A5_6m_1
81,16/4/2024,A5_6m,1,A0209,D,5.5,16/3/2025,1,Acropora spp.,A5_6m_1
82,16/4/2024,A5_6m,1,A0209,E,6,16/3/2025,0,Acropora spp.,A5_6m_1
83,16/4/2024,A5_6m,1,A0211,A,5,16/3/2025,1,Acropora spp.,A5_6m_1
84,16/4/2024,A5_6m,1,A0211,B,7,16/3/2025,1,Acropora spp.,A5_6m_1
